Pair,DA,DD,MP,MA,IN,SM,TP,TA,TR,WR,Mark,,Unique Marks,Frequency
po-aud_chf_otc,1,8,1,100,10000,6,13.56,200,201,56,618,,618,1
po-aud_chf_otc,1,10,1,100,10000,6,23.99,161,162,60.25,620,,620,1
po-aud_chf_otc,1,8,2,100,10000,6,36.86,570,386,59,628,,628,1
aud/cad,1,9,2,100,10000,6,8.4,186,128,60.61,629,,629,1
po-aud_chf_otc,1,10,2,100,10000,6,58.09,459,311,61.49,630,,630,1
gecko-chf/usdc,1,2,3,100,10000,6,168.8,7024,3869,65.44,632,,632,1
gecko-chf/usdc,1,3,3,100,10000,6,235.4,6340,3292,69.13,633,,633,1
gecko-chf/usdc,1,4,3,100,10000,6,397.8,5616,2825,71.88,634,,634,1
po-aud_chf_otc,1,5,3,100,10000,6,10.82,1897,853,62.22,635,,635,2
gecko-chf/usdc,1,5,3,100,10000,6,380.2,5234,2540,71.46,635,,636,1
gecko-chf/usdc,1,6,3,100,10000,6,233.8,4736,2275,71.23,636,,637,3
po-aud_chf_otc,1,7,3,100,10000,6,0.9,1396,625,60.53,637,,638,3
gecko-eurc/usdc,1,7,3,100,10000,6,103.8,5748,2551,66.34,637,,639,4
gecko-chf/usdc,1,7,3,100,10000,6,407,4381,2066,72.34,637,,640,3
po-aud_chf_otc,1,8,3,100,10000,6,52.82,1210,546,63,638,,642,2
gecko-eurc/usdc,1,8,3,100,10000,6,90.8,5059,2249,65.92,638,,643,2
gecko-chf/usdc,1,8,3,100,10000,6,428.8,3983,1861,73.8,638,,644,3
gecko-eurc/usdc,1,9,3,100,10000,6,8.4,4587,2029,64.16,639,,645,3
gecko-chf/usdc,1,9,3,100,10000,6,339.2,3754,1739,71.84,639,,646,3
aud/cad,1,9,3,100,10000,6,19.6,398,181,62.12,639,,647,2
EUR/USDT,1,9,3,100,10000,6,13.4,4519,2111,69.53,639,,648,3
po-aud_chf_otc,1,10,3,100,10000,6,140.97,1023,452,64.6,640,,649,4
gecko-eurc/usdc,1,10,3,100,10000,6,96.4,4139,1829,63.94,640,,650,4
gecko-chf/usdc,1,10,3,100,10000,6,387.2,3418,1576,74.75,640,,652,3
gecko-eurc/usdc,1,2,4,100,10000,6,374.6,22264,7726,67.75,642,,653,2
gecko-chf/usdc,1,2,4,100,10000,6,530.4,8808,4092,65.44,642,,654,3
gecko-eurc/usdc,1,3,4,100,10000,6,718.4,18502,5987,67.71,643,,655,4
gecko-chf/usdc,1,3,4,100,10000,6,913.8,8628,3578,69.13,643,,656,3
po-aud_chf_otc,1,4,4,100,10000,6,159.63,4405,1309,69.31,644,,657,2
gecko-eurc/usdc,1,4,4,100,10000,6,640.2,15927,4915,65.12,644,,658,3
gecko-chf/usdc,1,4,4,100,10000,6,1036.2,8160,3143,71.88,644,,659,4
po-aud_chf_otc,1,5,4,100,10000,6,76.98,3721,1081,66.35,645,,660,4
gecko-eurc/usdc,1,5,4,100,10000,6,421,13934,4174,64.08,645,,662,3
gecko-chf/usdc,1,5,4,100,10000,6,1149.8,7978,2883,71.46,645,,663,3
gecko-eurc/usdc,1,6,4,100,10000,6,674.4,12228,3599,63.58,646,,664,3
gecko-chf/usdc,1,6,4,100,10000,6,813,7368,2604,71.23,646,,665,4
aud/cny,1,6,4,100,10000,6,68.2,1145,353,61.47,646,,666,3
gecko-eurc/usdc,1,7,4,100,10000,6,926.2,10916,3197,66.34,647,,667,2
gecko-chf/usdc,1,7,4,100,10000,6,1251.8,7165,2414,72.34,647,,668,3
po-aud_chf_otc,1,8,4,100,10000,6,142.66,2370,691,68,648,,669,3
gecko-eurc/usdc,1,8,4,100,10000,6,1199.6,9883,2853,65.92,648,,670,4
gecko-chf/usdc,1,8,4,100,10000,6,1241.6,6511,2177,73.8,648,,1218,1
gecko-eurc/usdc,1,9,4,100,10000,6,1008.4,9059,2588,64.16,649,,1220,1
gecko-chf/usdc,1,9,4,100,10000,6,1249.6,6386,2069,71.84,649,,1224,1
aud/cad,1,9,4,100,10000,6,11.6,766,227,62.12,649,,1225,1
EUR/USDT,1,9,4,100,10000,6,186.2,7759,2516,69.53,649,,1228,1
po-aud_chf_otc,1,10,4,100,10000,6,275.85,2015,576,67.7,650,,1230,1
gecko-eurc/usdc,1,10,4,100,10000,6,1096.4,8179,2334,63.94,650,,1232,1
gecko-chf/usdc,1,10,4,100,10000,6,1241.6,5962,1894,74.75,650,,1233,1
aud/cad,1,10,4,100,10000,6,12.2,715,210,57.38,650,,1234,1
po-aud_chf_otc,1,2,5,100,10000,6,42.92,10323,2389,72.84,652,,1235,2
gecko-eurc/usdc,1,2,5,100,10000,6,1744.2,31032,8274,70.99,652,,1236,1
gecko-chf/usdc,1,2,5,100,10000,6,780,9912,4161,65.75,652,,1237,2
gecko-eurc/usdc,1,3,5,100,10000,6,2254.4,28054,6584,71.71,653,,1238,2
gecko-chf/usdc,1,3,5,100,10000,6,1739.4,10452,3692,70.38,653,,1239,1
po-aud_chf_otc,1,4,5,100,10000,6,344.11,7813,1522,69.57,654,,1240,2
gecko-eurc/usdc,1,4,5,100,10000,6,2192.2,25751,5529,69.89,654,,1242,1
gecko-chf/usdc,1,4,5,100,10000,6,1676.2,10400,3283,73.88,654,,1243,2
po-aud_chf_otc,1,5,5,100,10000,6,146.74,6761,1271,66.35,655,,1244,2
gecko-eurc/usdc,1,5,5,100,10000,6,2158.6,23342,4763,69.82,655,,1245,3
gecko-chf/usdc,1,5,5,100,10000,6,2151.4,10490,3040,73.44,655,,1246,3
aud/cad,1,5,5,100,10000,6,24,1821,387,64.22,655,,1247,2
gecko-eurc/usdc,1,6,5,100,10000,6,2690.4,21300,4166,70.84,656,,1248,3
gecko-chf/usdc,1,6,5,100,10000,6,1587.4,10136,2777,74.14,656,,1249,2
aud/cny,1,6,5,100,10000,6,247.4,1945,403,66.97,656,,1250,3
gecko-eurc/usdc,1,7,5,100,10000,6,2846.2,19076,3707,71.74,657,,1252,2
gecko-chf/usdc,1,7,5,100,10000,6,2691.8,10189,2603,75.64,657,,1253,2
po-aud_chf_otc,1,8,5,100,10000,6,433.86,4402,818,68,658,,1254,2
gecko-eurc/usdc,1,8,5,100,10000,6,3516.4,17819,3350,73.28,658,,1255,3
gecko-chf/usdc,1,8,5,100,10000,6,2390.4,9423,2359,78.05,658,,1256,2
gecko-eurc/usdc,1,9,5,100,10000,6,3059.6,16195,3034,71.55,659,,1257,2
gecko-chf/usdc,1,9,5,100,10000,6,2484.8,9442,2260,76.2,659,,1258,3
aud/cad,1,9,5,100,10000,6,34,1406,267,62.12,659,,1259,2
EUR/USDT,1,9,5,100,10000,6,80.6,12559,2816,73.76,659,,1260,3
po-aud_chf_otc,1,10,5,100,10000,6,490.57,3807,688,68.94,660,,1262,2
gecko-eurc/usdc,1,10,5,100,10000,6,3528.4,15251,2776,72.73,660,,,
gecko-chf/usdc,1,10,5,100,10000,6,2348.8,8858,2075,78.24,660,,,
aud/cad,1,10,5,100,10000,6,57,1275,245,59.02,660,,,
po-aud_chf_otc,1,2,6,100,10000,6,568.68,15091,2538,76.17,662,,,
gecko-eurc/usdc,1,2,6,100,10000,6,2909,39256,8531,72.3,662,,,
gecko-chf/usdc,1,2,6,100,10000,6,1023.2,10648,4184,65.9,662,,,
gecko-eurc/usdc,1,3,6,100,10000,6,4392,38358,6906,73.97,663,,,
gecko-chf/usdc,1,3,6,100,10000,6,2494.6,11828,3735,70.84,663,,,
aud/cad,1,3,6,100,10000,6,1.4,4270,623,62.5,663,,,
po-aud_chf_otc,1,4,6,100,10000,6,240.43,12965,1683,72.38,664,,,
gecko-eurc/usdc,1,4,6,100,10000,6,4726.6,38423,5925,73.2,664,,,
gecko-chf/usdc,1,4,6,100,10000,6,2329,12224,3340,74.44,664,,,
po-aud_chf_otc,1,5,6,100,10000,6,17.78,12009,1435,70.16,665,,,
gecko-eurc/usdc,1,5,6,100,10000,6,5237,36334,5170,74.19,665,,,
gecko-chf/usdc,1,5,6,100,10000,6,3162.6,12762,3111,74.2,665,,,
aud/cad,1,5,6,100,10000,6,62.4,3165,429,68.81,665,,,
gecko-eurc/usdc,1,6,6,100,10000,6,6511.2,34644,4583,75.43,666,,,
gecko-chf/usdc,1,6,6,100,10000,6,2125,12248,2843,75.22,666,,,
aud/cny,1,6,6,100,10000,6,394.6,3065,438,69.72,666,,,
gecko-eurc/usdc,1,7,6,100,10000,6,6347,31876,4107,76.93,667,,,
gecko-chf/usdc,1,7,6,100,10000,6,4170.2,12973,2690,77.72,667,,,
po-aud_chf_otc,1,8,6,100,10000,6,1045.38,7954,929,72,668,,,
gecko-eurc/usdc,1,8,6,100,10000,6,8162.8,29819,3726,77.65,668,,,
gecko-chf/usdc,1,8,6,100,10000,6,3664,12239,2447,79.29,668,,,
gecko-eurc/usdc,1,9,6,100,10000,6,7046.8,27587,3390,77.27,669,,,
gecko-chf/usdc,1,9,6,100,10000,6,4142.4,12738,2363,78.01,669,,,
aud/cad,1,9,6,100,10000,6,14.8,2462,300,66.67,669,,,
po-aud_chf_otc,1,10,6,100,10000,6,954.57,6943,786,70.81,670,,,
gecko-eurc/usdc,1,10,6,100,10000,6,8360.4,26835,3138,77.81,670,,,
gecko-chf/usdc,1,10,6,100,10000,6,4051.2,12282,2182,80.9,670,,,
aud/cad,1,10,6,100,10000,6,165.8,2203,274,63.93,670,,,
po-aud_chf_otc,1,8,1,100,10000,12,13.6,200,201,56,1218,,,
po-aud_chf_otc,1,10,1,100,10000,12,14.72,161,162,57.14,1220,,,
po-aud_chf_otc,1,4,2,100,10000,12,0.43,1101,748,57.54,1224,,,
po-aud_chf_otc,1,5,2,100,10000,12,13.42,877,597,59.05,1225,,,
po-aud_chf_otc,1,8,2,100,10000,12,38.5,568,385,59.5,1228,,,
po-aud_chf_otc,1,10,2,100,10000,12,30.04,459,311,58.39,1230,,,
gecko-chf/usdc,1,2,3,100,10000,12,105,7068,3880,64.63,1232,,,
gecko-chf/usdc,1,3,3,100,10000,12,72.6,6420,3316,67.37,1233,,,
gecko-chf/usdc,1,4,3,100,10000,12,213.2,5608,2827,70.03,1234,,,
po-aud_chf_otc,1,5,3,100,10000,12,72.7,1893,851,63.81,1235,,,
gecko-chf/usdc,1,5,3,100,10000,12,373.6,5282,2553,70.7,1235,,,
gecko-chf/usdc,1,6,3,100,10000,12,133.6,4820,2302,69.61,1236,,,
gecko-eurc/usdc,1,7,3,100,10000,12,65.2,5720,2542,65.78,1237,,,
gecko-chf/usdc,1,7,3,100,10000,12,312.6,4407,2073,71.48,1237,,,
po-aud_chf_otc,1,8,3,100,10000,12,65.7,1212,546,63.5,1238,,,
gecko-chf/usdc,1,8,3,100,10000,12,324.8,3997,1865,73.25,1238,,,
gecko-chf/usdc,1,9,3,100,10000,12,348.6,3786,1746,72.59,1239,,,
po-aud_chf_otc,1,10,3,100,10000,12,83.4,1015,450,62.73,1240,,,
gecko-chf/usdc,1,10,3,100,10000,12,359.8,3440,1584,74.42,1240,,,
gecko-chf/usdc,1,2,4,100,10000,12,617,8788,4095,64.63,1242,,,
gecko-eurc/usdc,1,3,4,100,10000,12,239,19048,6094,65.66,1243,,,
gecko-chf/usdc,1,3,4,100,10000,12,728.6,8788,3612,67.37,1243,,,
gecko-eurc/usdc,1,4,4,100,10000,12,517.8,16269,4974,63.86,1244,,,
gecko-chf/usdc,1,4,4,100,10000,12,874,8072,3135,70.03,1244,,,
po-aud_chf_otc,1,5,4,100,10000,12,225.34,3693,1076,68.57,1245,,,
gecko-eurc/usdc,1,5,4,100,10000,12,356,14152,4213,63.43,1245,,,
gecko-chf/usdc,1,5,4,100,10000,12,1128.8,8098,2905,70.7,1245,,,
po-aud_chf_otc,1,6,4,100,10000,12,1.88,3123,915,65.66,1246,,,
gecko-eurc/usdc,1,6,4,100,10000,12,753.6,12390,3628,63.58,1246,,,
gecko-chf/usdc,1,6,4,100,10000,12,712.8,7596,2649,69.61,1246,,,
gecko-eurc/usdc,1,7,4,100,10000,12,886,10904,3190,65.78,1247,,,
gecko-chf/usdc,1,7,4,100,10000,12,1079,7183,2420,71.48,1247,,,
po-aud_chf_otc,1,8,4,100,10000,12,171.38,2340,687,69,1248,,,
gecko-eurc/usdc,1,8,4,100,10000,12,1004.6,10033,2878,64.42,1248,,,
gecko-chf/usdc,1,8,4,100,10000,12,1097.6,6565,2186,73.25,1248,,,
gecko-eurc/usdc,1,9,4,100,10000,12,762,9201,2615,63.18,1249,,,
gecko-chf/usdc,1,9,4,100,10000,12,1329.4,6506,2087,72.59,1249,,,
po-aud_chf_otc,1,10,4,100,10000,12,178.84,2031,577,65.22,1250,,,
gecko-eurc/usdc,1,10,4,100,10000,12,971.8,8273,2353,62.87,1250,,,
gecko-chf/usdc,1,10,4,100,10000,12,1209.4,5960,1899,74.42,1250,,,
gecko-eurc/usdc,1,2,5,100,10000,12,340.2,32202,8437,69.06,1252,,,
gecko-chf/usdc,1,2,5,100,10000,12,1039.4,9892,4164,65.09,1252,,,
gecko-eurc/usdc,1,3,5,100,10000,12,1519,29288,6734,69.97,1253,,,
gecko-chf/usdc,1,3,5,100,10000,12,1490.2,10532,3721,68.61,1253,,,
gecko-eurc/usdc,1,4,5,100,10000,12,2476.2,26637,5622,69.29,1254,,,
gecko-chf/usdc,1,4,5,100,10000,12,1552.4,10216,3269,72.2,1254,,,
po-aud_chf_otc,1,5,5,100,10000,12,423.9,6637,1260,68.57,1255,,,
gecko-eurc/usdc,1,5,5,100,10000,12,2324,24136,4838,69.34,1255,,,
gecko-chf/usdc,1,5,5,100,10000,12,2159.2,10754,3071,72.87,1255,,,
gecko-eurc/usdc,1,6,5,100,10000,12,2833.6,21542,4200,70.46,1256,,,
gecko-chf/usdc,1,6,5,100,10000,12,1368.8,10396,2824,72.09,1256,,,
gecko-eurc/usdc,1,7,5,100,10000,12,2710,19160,3706,71.74,1257,,,
gecko-chf/usdc,1,7,5,100,10000,12,2480.6,10303,2615,74.91,1257,,,
po-aud_chf_otc,1,8,5,100,10000,12,466.1,4308,810,69,1258,,,
gecko-eurc/usdc,1,8,5,100,10000,12,3161.4,18129,3385,71.91,1258,,,
gecko-chf/usdc,1,8,5,100,10000,12,2272,9653,2379,77.78,1258,,,
gecko-eurc/usdc,1,9,5,100,10000,12,2749.2,16545,3074,70.29,1259,,,
gecko-chf/usdc,1,9,5,100,10000,12,2702.2,9770,2292,77.56,1259,,,
po-aud_chf_otc,1,10,5,100,10000,12,223.8,3839,690,66.46,1260,,,
gecko-eurc/usdc,1,10,5,100,10000,12,3387.8,15361,2796,72.11,1260,,,
gecko-chf/usdc,1,10,5,100,10000,12,2521.4,8968,2087,78.57,1260,,,
gecko-eurc/usdc,1,2,6,100,10000,12,1479.4,41258,8720,70.55,1262,,,
gecko-chf/usdc,1,2,6,100,10000,12,1353,10500,4183,65.24,1262,,,
gecko-eurc/usdc,1,3,6,100,10000,12,3375,40392,7081,72.38,1263,,,
gecko-chf/usdc,1,3,6,100,10000,12,2251.8,11844,3762,69.13,1263,,,
gecko-eurc/usdc,1,4,6,100,10000,12,5068.2,39885,6036,72.87,1264,,,
gecko-chf/usdc,1,4,6,100,10000,12,2275.6,11912,3322,72.84,1264,,,
po-aud_chf_otc,1,5,6,100,10000,12,520.54,11661,1417,72.38,1265,,,
gecko-eurc/usdc,1,5,6,100,10000,12,5530.4,38152,5277,73.95,1265,,,
gecko-chf/usdc,1,5,6,100,10000,12,3240.8,13186,3147,73.82,1265,,,
po-aud_chf_otc,1,6,6,100,10000,12,101.08,10243,1220,69.43,1266,,,
gecko-eurc/usdc,1,6,6,100,10000,12,7134.4,35270,4629,75.24,1266,,,
gecko-chf/usdc,1,6,6,100,10000,12,1880.8,12764,2898,73.17,1266,,,
gecko-eurc/usdc,1,7,6,100,10000,12,5596.4,32056,4109,76.93,1267,,,
gecko-chf/usdc,1,7,6,100,10000,12,3939.8,13279,2708,76.99,1267,,,
po-aud_chf_otc,1,8,6,100,10000,12,1055.22,7700,916,73,1268,,,
gecko-eurc/usdc,1,8,6,100,10000,12,7724.6,30673,3778,76.53,1268,,,
gecko-chf/usdc,1,8,6,100,10000,12,3692.8,12725,2475,79.29,1268,,,
gecko-eurc/usdc,1,9,6,100,10000,12,6461.2,28097,3435,76.29,1269,,,
gecko-chf/usdc,1,9,6,100,10000,12,4558.2,13386,2405,79.37,1269,,,
po-aud_chf_otc,1,10,6,100,10000,12,346.68,7007,789,67.08,1270,,,
gecko-eurc/usdc,1,10,6,100,10000,12,8175,26817,3154,77.04,1270,,,
gecko-chf/usdc,1,10,6,100,10000,12,4460.6,12616,2201,81.56,1270,,,
po-aud_chf_otc,1,8,1,100,10000,18,21.26,200,201,58,1818,,,
po-aud_chf_otc,1,10,1,100,10000,18,7.05,161,162,54.66,1820,,,
po-aud_chf_otc,1,5,2,100,10000,18,38.52,877,598,60.63,1825,,,
po-aud_chf_otc,1,8,2,100,10000,18,61.5,568,386,61.5,1828,,,
aud/cad,1,9,2,100,10000,18,3.2,184,126,59.09,1829,,,
po-aud_chf_otc,1,10,2,100,10000,18,8.87,461,312,55.9,1830,,,
gecko-chf/usdc,1,2,3,100,10000,18,71.6,7150,3908,64.53,1832,,,
gecko-chf/usdc,1,4,3,100,10000,18,341.4,5658,2842,70.99,1834,,,
po-aud_chf_otc,1,5,3,100,10000,18,103.44,1865,846,65.08,1835,,,
gecko-chf/usdc,1,5,3,100,10000,18,389.8,5246,2545,70.79,1835,,,
gecko-chf/usdc,1,6,3,100,10000,18,62.4,4812,2298,69.29,1836,,,
gecko-chf/usdc,1,7,3,100,10000,18,355,4433,2079,71.6,1837,,,
po-aud_chf_otc,1,8,3,100,10000,18,100.38,1208,547,64.5,1838,,,
gecko-chf/usdc,1,8,3,100,10000,18,300,3957,1853,72.98,1838,,,
gecko-chf/usdc,1,9,3,100,10000,18,442.2,3822,1758,73.49,1839,,,
aud/cad,1,9,3,100,10000,18,12,384,176,62.12,1839,,,
po-aud_chf_otc,1,10,3,100,10000,18,46.79,1025,453,60.87,1840,,,
gecko-chf/usdc,1,10,3,100,10000,18,368.6,3424,1578,74.42,1840,,,
gecko-chf/usdc,1,2,4,100,10000,18,564.4,8918,4129,64.53,1842,,,
gecko-eurc/usdc,1,3,4,100,10000,18,139.2,19218,6128,65.3,1843,,,
gecko-chf/usdc,1,3,4,100,10000,18,566.8,8822,3628,66.91,1843,,,
gecko-eurc/usdc,1,4,4,100,10000,18,7.6,16493,5020,62.34,1844,,,
gecko-chf/usdc,1,4,4,100,10000,18,917.4,8178,3157,70.99,1844,,,
po-aud_chf_otc,1,5,4,100,10000,18,259.52,3585,1062,69.52,1845,,,
gecko-eurc/usdc,1,5,4,100,10000,18,340.6,14270,4242,63.51,1845,,,
gecko-chf/usdc,1,5,4,100,10000,18,1111.4,8038,2894,70.79,1845,,,
gecko-eurc/usdc,1,6,4,100,10000,18,812.8,12446,3640,63.77,1846,,,
gecko-chf/usdc,1,6,4,100,10000,18,611.2,7604,2647,69.29,1846,,,
gecko-eurc/usdc,1,7,4,100,10000,18,750.4,11090,3223,64.68,1847,,,
